movie,metascore,rating,runtime,genre1,release_date,release_year,rat_avg,rat_count,rat_poscount,rat_mixcount,rat_negcount,prodbudget,adbudget,franchise,source,domgross,intlgross,distributor
Murder by Numbers,50,R,120,Drama,19apr2002,2002,6.4,18,11,3,4,50000000,,,Original Screenplay,31945749,24768398,Warner Bros.
My Big Fat Greek Wedding,62,PG,95,Comedy,19apr2002,2002,8.199999999999999,145,124,6,15,5000000,19000000,,Based on Play,241438208,127305836,IFC Films
The Scorpion King,45,PG-13,92,Action,19apr2002,2002,5.7,43,24,7,12,60000000,,,Spin-Off,91047077,74286103,Universal
Chelsea Walls,34,R,109,Drama,19apr2002,2002,7,10,7,0,3,,,,Based on Play,60902,,Lionsgate
For da Love of Money,23,R,97,Comedy,26apr2002,2002,6.8,4,3,0,1,,,,,27500,,
Sex with Strangers,44,,105,Drama,26apr2002,2002,5.4,5,2,1,2,1100000,,,Based on Real Life Events,254852,,David Keith
Circuit,36,,120,Drama,26apr2002,2002,7.5,4,3,0,1,,,,Original Screenplay,235087,,Jour de Fete
Dogtown and Z-Boys,76,PG-13,91,Documentary,26apr2002,2002,9.199999999999999,21,19,1,1,,,,Based on Real Life Events,1300682,222408,Sony Pictures Classics
Night at the Golden Eagle,32,R,87,Drama,26apr2002,2002,,3,1,1,1,,,,,17643,,Keystone
The Salton Sea,41,R,103,Drama,26apr2002,2002,7.2,22,17,0,5,18000000,,,Original Screenplay,764554,,Warner Bros.
Life or Something Like It,31,PG-13,103,Comedy,26apr2002,2002,5.5,8,3,4,1,40000000,,,Original Screenplay,14448589,2424082,20th Century Fox
Hollywood Ending,46,PG-13,112,Comedy,03may2002,2002,5.2,10,5,1,4,16000000,,,Original Screenplay,4850753,9718991,Dreamworks SKG
Home Movie,67,TV-14,66,Documentary,03may2002,2002,,3,2,1,0,,,,,119052,,Cowboy Pictures
The New Guy,24,Unrated,88,Comedy,10may2002,2002,6.2,45,28,4,13,13000000,,,Original Screenplay,29760152,1407236,Sony Pictures
The Believer,75,R,102,Drama,17may2002,2002,8.9,18,18,0,0,,,,Original Screenplay,416925,,Sony Pictures
Bartleby,48,PG-13,83,Drama,24may2002,2002,,1,1,0,0,,,,Based on Book/Short Story,148479,,Outrider Pictures
Enough,25,PG-13,115,Drama,24may2002,2002,5.4,39,23,1,15,38000000,,,Original Screenplay,40007742,11793445,Sony Pictures
CQ,56,R,88,Sci-Fi,24may2002,2002,7,6,5,0,1,,,,,414358,,MGM
Thirteen Conversations About One Thing,74,R,104,Drama,24may2002,2002,8.4,34,30,2,2,3000000,,,Original Screenplay,3288164,418488,Sony Pictures Classics
Insomnia,78,R,118,Drama,24may2002,2002,6.9,82,64,6,12,46000000,20000000,,Remake,67355513,46359317,Warner Bros.
The Next Big Thing,47,R,87,Drama,29may2002,2002,,0,0,0,0,,,,,14600,,Castle Hill Productions
The Producers (re-release),97,PG,88,Comedy,07jun2002,2002,8.5,31,28,3,0,,,,Original Screenplay,111866,,
Bad Company,37,PG-13,116,Action,07jun2002,2002,4.5,20,6,5,9,70000000,30000000,,Original Screenplay,30160161,35817134,Walt Disney Pictures
Divine Secrets of the Ya-Ya Sisterhood,48,PG-13,116,Comedy,07jun2002,2002,5.9,22,15,0,7,27000000,20000000,,Based on Book/Short Story,69599016,4240224,Warner Bros.
Cherish,51,R,99,Drama,07jun2002,2002,6.7,6,4,1,1,,,,Original Screenplay,179751,,Fine Line
The Dangerous Lives of Altar Boys,69,R,104,Drama,14jun2002,2002,8.9,21,19,2,0,12000000,,,Based on Book/Short Story,1815864,220735,ThinkFilm
Bobby G. Can't Swim,46,R,89,Drama,21jun2002,2002,,1,1,0,0,,,,Original Screenplay,15900,,Gabriel Film Group
Mr. Smith Gets a Hustler,22,R,91,Drama,21jun2002,2002,5.6,7,4,0,3,,,,,1915,,Outrider Pictures
Minority Report,80,PG-13,145,Action,21jun2002,2002,7.5,162,132,16,14,102000000,40000000,,Based on Book/Short Story,132072926,226300000,20th Century Fox
Lilo & Stitch,73,PG,85,Adventure,21jun2002,2002,8.9,103,93,5,5,80000000,40000000,,Original Screenplay,145794338,127349813,Walt Disney Pictures
Dahmer,63,R,101,Biography,21jun2002,2002,4.3,10,4,1,5,,,,,144008,,Peninsula
Pumpkin,46,TV-MA,113,Drama,28jun2002,2002,7.7,11,9,1,1,,,,,308552,,MGM
Mr. Deeds,24,PG-13,96,Comedy,28jun2002,2002,6.3,67,43,6,18,50000000,35000000,,Based on Book/Short Story,126293452,44976083,Sony Pictures
Notorious C.H.O.,66,,95,Comedy,28jun2002,2002,7,5,4,0,1,,,,Based on Real Life Events,1033395,,WellSpring
Hey Arnold! The Movie,47,PG,76,Adventure,28jun2002,2002,7.5,15,13,0,2,10000000,,,Based on TV,13728902,1520406,Paramount Pictures
Harvard Man,49,R,99,Drama,28jun2002,2002,7,6,4,1,1,5500000,,,,56653,,Cowboy Pictures
Lovely & Amazing,75,R,91,Drama,28jun2002,2002,8.699999999999999,6,6,0,0,250000,750000,,Original Screenplay,4222923,454929,Lionsgate
Like Mike,47,PG,99,Comedy,03jul2002,2002,6.7,26,17,3,6,30000000,25000000,,Original Screenplay,51432760,10842020,20th Century Fox
The Powerpuff Girls,65,PG,73,Action,03jul2002,2002,7.1,29,21,1,7,25000000,,,Based on TV,11412414,5014057,Warner Bros.
Group,53,,106,Drama,05jul2002,2002,,1,1,0,0,,,,,7281,,Artistic License
Never Again,30,R,98,Comedy,12jul2002,2002,6.3,6,4,0,2,500000,,,,307631,,Focus Features
Last Dance,66,,84,Documentary,12jul2002,2002,,2,2,0,0,,,,,15515,,First Run Features
Road to Perdition,72,R,117,Adventure,12jul2002,2002,7.3,78,59,11,8,80000000,30000000,,Based on Comic/Graphic Novel,104454762,76546716,Dreamworks SKG
The Crocodile Hunter: Collision Course,50,PG,90,Action,12jul2002,2002,7.9,14,12,0,2,12500000,,,Based on TV,28442574,4639974,MGM
Eight Legged Freaks,53,PG-13,99,Action,17jul2002,2002,6.2,26,18,4,4,30000000,25000000,,Original Screenplay,17322606,28544727,Warner Bros.
The Kid Stays in the Picture,75,R,93,Biography,26jul2002,2002,,2,2,0,0,,,,Based on Book/Short Story,1439232,82361,Focus Features
The Country Bears,37,G,88,Comedy,26jul2002,2002,6.2,12,8,1,3,20000000,20000000,,Disney Ride,16990825,1021272,Walt Disney Pictures
I Am Trying to Break Your Heart,66,Unrated,92,Documentary,26jul2002,2002,9.5,4,4,0,0,,,,,445522,,Cowboy Pictures
Martin Lawrence Live: Runteldat,40,R,113,Biography,02aug2002,2002,6.8,6,4,0,2,3000000,2500000,,Based on Real Life Events,19184820,,Paramount Pictures
Full Frontal,45,R,101,Comedy,02aug2002,2002,4.9,8,4,1,3,2000000,,,Original Screenplay,2512846,925958,Miramax
Signs,59,PG-13,106,Sci-Fi,02aug2002,2002,6,181,107,21,53,70702619,40000000,,Original Screenplay,227966634,180281283,Walt Disney Pictures
The Good Girl,71,R,93,Drama,07aug2002,2002,5.9,55,34,4,17,8000000,5000000,,Original Screenplay,14018296,2837828,Fox Searchlight
Blood Work,64,R,110,Action,09aug2002,2002,5.1,31,17,1,13,50000000,25000000,,Based on Book/Short Story,26235081,5559637,Warner Bros.
The Chateau,54,R,91,Comedy,09aug2002,2002,,2,2,0,0,,,,Original Screenplay,202272,,IFC Films
Possession,52,PG-13,102,Drama,16aug2002,2002,7.2,14,10,2,2,25000000,,,Based on Book/Short Story,10113733,4702165,Focus Features
Blue Crush,61,PG-13,104,Drama,16aug2002,2002,7.9,39,35,1,3,30000000,,,Based on Magazine Article,40390647,11453032,Universal
One Hour Photo,64,R,96,Drama,21aug2002,2002,6.6,48,34,4,10,12000000,10000000,,Original Screenplay,31597131,20626175,Fox Searchlight
Serving Sara,18,PG-13,99,Comedy,23aug2002,2002,4.2,11,4,0,7,29000000,20000000,,Original Screenplay,16930185,3215965,Paramount Pictures
Little Secrets,52,PG,96,Drama,23aug2002,2002,9.300000000000001,12,11,1,0,,,,,405792,,IDP
S1m0ne,49,PG-13,117,Sci-Fi,23aug2002,2002,5.6,25,14,5,6,,,,Original Screenplay,9688676,9887347,New Line
Crop Circles: Quest for Truth,41,,115,Documentary,23aug2002,2002,,3,3,0,0,600000,,,,11562,,Open Edge
Amy's Orgasm,36,R,87,Comedy,23aug2002,2002,7.1,16,12,1,3,,,,Original Screenplay,119664,,Magic Lamp
City by the Sea,50,R,108,Drama,06sep2002,2002,6,15,10,3,2,40000000,20000000,,Based on Magazine Article,22448879,6965087,Warner Bros.
The Execution of Wanda Jean,73,,88,Documentary,06sep2002,2002,9.300000000000001,7,7,0,0,,,,,1386,,Seventh Art Releasing
Heartbreak Hospital,27,,91,Thriller,06sep2002,2002,,2,2,0,0,,,,,1480,,Seventh Art Releasing
Igby Goes Down,72,TV-MA,98,Drama,13sep2002,2002,7.8,53,42,4,7,9000000,,,Original Screenplay,4777465,2141733,MGM
Secretary,63,R,104,Drama,20sep2002,2002,8.699999999999999,33,32,0,1,,,,Based on Book/Short Story,4059680,5244929,Lionsgate
The Four Feathers,49,R,131,Adventure,20sep2002,2002,7.9,14,12,1,1,35000000,25000000,,Based on Book/Short Story,18306166,11576479,Paramount Pictures
Ballistic: Ecks vs. Sever,19,R,91,Action,20sep2002,2002,3.1,32,10,1,21,70000000,20000000,,Original Screenplay,14307963,5616070,Warner Bros.
Joshua,38,G,91,Drama,20sep2002,2002,9.1,7,7,0,0,,,,Based on Book/Short Story,1461635,,Artisan
Ciao America,39,R,100,Drama,20sep2002,2002,,3,3,0,0,,,,Original Screenplay,54965,,National Amusements
The Banger Sisters,48,R,98,Drama,20sep2002,2002,4,12,5,1,6,10000000,20000000,,Original Screenplay,30307416,7760937,20th Century Fox
The Man from Elysian Fields,57,R,106,Drama,27sep2002,2002,8,6,6,0,0,,,,Original Screenplay,1435016,571375,Samuel Goldwyn Films
Moonlight Mile,59,PG-13,117,Drama,27sep2002,2002,6.9,23,18,2,3,21000000,5000000,,Original Screenplay,6835856,3175194,Walt Disney Pictures
Crazy as Hell,33,R,113,Drama,27sep2002,2002,,3,2,0,1,,,,,21679,,Artistic License
Just a Kiss,39,R,89,Comedy,27sep2002,2002,,0,0,0,0,,,,,64389,,Paramount Classics
Shanghai Ghetto,68,,95,Documentary,27sep2002,2002,,1,1,0,0,,,,Based on Real Life Events,712446,,Menemsha Entertainment
Pipe Dream,58,R,91,Comedy,04oct2002,2002,,0,0,0,0,,,,,15430,,Castle Hill Productions
How to Draw a Bunny,78,,90,Documentary,09oct2002,2002,,2,2,0,0,,,,,4658,1442,Palm Pictures
Knockaround Guys,30,R,92,Drama,11oct2002,2002,6.4,7,5,0,2,15000000,,,Original Screenplay,11715637,2354084,New Line
Comedian,62,R,82,Documentary,11oct2002,2002,6.7,7,5,0,2,,,,Based on Real Life Events,2751988,,Miramax
Brown Sugar,58,PG-13,109,Drama,11oct2002,2002,4.2,5,2,0,3,8000000,7000000,,Original Screenplay,27363891,952560,20th Century Fox
Ash Wednesday,40,R,99,Drama,11oct2002,2002,6.6,5,3,1,1,,,,Original Screenplay,2942,149457,Focus Features
Below,55,R,105,Mystery,11oct2002,2002,6.3,6,4,2,0,,,,Original Screenplay,605562,,Miramax/Dimension
The Rules of Attraction,50,NC-17,110,Drama,11oct2002,2002,6.8,63,43,1,19,4000000,2000000,,Based on Book/Short Story,6532619,5286625,Lionsgate
Punch-Drunk Love,78,R,95,Drama,11oct2002,2002,6.2,153,95,7,51,25000000,,,Original Screenplay,17844216,6821433,Sony Pictures
Real Women Have Curves,71,PG-13,90,Drama,18oct2002,2002,7,15,10,0,5,3000000,,,Based on Play,5853194,1924596,Newmarket Films
Abandon,36,PG-13,99,Drama,18oct2002,2002,6.7,9,7,1,1,25000000,,,Original Screenplay,10727683,1574536,Paramount Pictures
The Grey Zone,58,TV-MA,108,Drama,18oct2002,2002,8.800000000000001,6,6,0,0,,,,,517872,,Lionsgate
Auto Focus,66,R,105,Biography,18oct2002,2002,6.6,9,8,0,1,7000000,,,Based on Book/Short Story,2063196,641755,Sony Pictures Classics
Naqoyqatsi,59,PG,89,Documentary,18oct2002,2002,7.9,7,7,0,0,,,,,133058,,Miramax
The Business of Fancydancing,49,,103,Drama,18oct2002,2002,6.7,6,5,0,1,200000,,,Original Screenplay,175710,,Outrider Pictures
Fidel,44,,91,Biography,18oct2002,2002,7.4,7,6,0,1,,,,,121304,,First Run Features
Derrida,73,,84,Documentary,23oct2002,2002,,1,0,1,0,,,,,157200,,Zeitgeist
Paid in Full,49,R,97,Action,25oct2002,2002,9.6,20,20,0,0,,,,Original Screenplay,3090862,,Rat Entertainment
Ghost Ship,28,R,91,Adventure,25oct2002,2002,6.4,57,37,7,13,20000000,20000000,,Original Screenplay,30113491,38236393,Warner Bros.
By Hook or by Crook,47,,98,Drama,25oct2002,2002,9.6,5,5,0,0,,,,Original Screenplay,1802,,Artistic License
Roger Dodger,75,R,106,Drama,25oct2002,2002,9,13,13,0,0,,,,Original Screenplay,1266828,667669,Artisan
Frida,61,R,123,Biography,25oct2002,2002,7.8,31,27,2,2,12000000,10000000,,Based on Real Life Events,25885000,30413474,Miramax
I Spy,35,PG-13,97,Action,01nov2002,2002,6.7,18,13,1,4,70000000,30000000,,Based on TV,33561137,17171808,Sony Pictures
Santa vs. the Snowman,62,,21,Animation,01nov2002,2002,,2,2,0,0,,,,Based on TV,1934053,12489686,IMAX Films
Love in the Time of Money,30,R,90,Drama,01nov2002,2002,,1,0,0,1,,,,,10410,,ThinkFilm
Besotted,20,,92,Comedy,01nov2002,2002,,1,1,0,0,,,,Original Screenplay,1379,,Artistic License
"The Bread, My Sweet",54,Unrated,105,Drama,08nov2002,2002,8.9,7,6,1,0,,,,Original Screenplay,1023156,,Panorama Entertainment
Leela,53,,97,Drama,08nov2002,2002,,0,0,0,0,,,,,0,,
8 Mile,77,R,110,Drama,08nov2002,2002,8.1,185,163,10,12,41000000,25000000,,Original Screenplay,116750901,126124177,Universal
Revolution #9,63,,90,Thriller,15nov2002,2002,,3,3,0,0,350000,,,,10133,,Exile
Hell House,64,Not Rated,85,Documentary,15nov2002,2002,,0,0,0,0,,,,,18279,,Seventh Art Releasing
Interview with the Assassin,60,R,88,Drama,15nov2002,2002,,0,0,0,0,750000,,,Original Screenplay,48058,,Magnolia Pictures
Better Housekeeping,53,R,90,Comedy,20nov2002,2002,6.2,6,4,0,2,,,,Based on Book/Short Story,1083282,,Sony Pictures
The Emperor's Club,49,PG-13,108,Drama,22nov2002,2002,8.699999999999999,20,18,0,2,12500000,12500000,,Based on Book/Short Story,14118751,2199698,Universal
The Quiet American,84,TV-MA,101,Drama,22nov2002,2002,7.3,20,16,0,4,20000000,5000000,,Based on Book/Short Story,12988801,14685323,Miramax
Personal Velocity: Three Portraits,70,R,86,Drama,22nov2002,2002,7.5,6,5,0,1,,,,Based on Book/Short Story,811299,,MGM
Power and Terror: Noam Chomsky in Our Times,48,,74,Documentary,22nov2002,2002,6.3,6,4,0,2,,,,,290767,,First Run Features
Eight Crazy Nights,23,PG-13,76,Drama,27nov2002,2002,6.4,33,21,4,8,,,,Original Screenplay,23586598,246533,Sony Pictures
Dead or Alive: Final,34,,89,Sci-Fi,29nov2002,2002,,0,0,0,0,,,,,2591,,Kino International
Adaptation.,83,R,114,Drama,06dec2002,2002,7.6,111,92,4,15,18500000,,,Based on Book/Short Story,22498520,10302653,Sony Pictures
Equilibrium,33,R,107,Action,06dec2002,2002,8.300000000000001,165,147,0,18,20000000,,,Original Screenplay,1203794,4155851,Miramax/Dimension
Empire,38,R,90,Drama,06dec2002,2002,7.6,12,10,1,1,3500000,6000000,,Original Screenplay,17600423,990849,Universal
The Guys,60,PG,84,Drama,13dec2002,2002,,2,1,0,1,,,,,21366,,Focus Features
The Jimmy Show,39,R,96,Drama,13dec2002,2002,8,7,6,0,1,1000000,,,,1000,,First Look
About Schmidt,85,R,125,Drama,13dec2002,2002,6,122,75,5,42,30000000,15000000,,Based on Book/Short Story,65016287,40818269,New Line
Maid in Manhattan,45,PG-13,105,Drama,13dec2002,2002,5.2,24,11,4,9,55000000,33000000,,Original Screenplay,94011225,60895468,Sony Pictures
The Hot Chick,29,PG-13,104,Fantasy,13dec2002,2002,6.3,42,28,2,12,,20000000,,Original Screenplay,35081594,19557959,Walt Disney Pictures
Drumline,63,PG-13,118,Drama,13dec2002,2002,7.9,30,25,1,4,20000000,15000000,,Original Screenplay,56399184,1189301,20th Century Fox
25th Hour,67,R,135,Drama,19dec2002,2002,8.199999999999999,81,72,2,7,4500000,,,Based on Book/Short Story,13084595,10843908,Walt Disney Pictures
Antwone Fisher,62,PG-13,120,Biography,19dec2002,2002,8.800000000000001,48,42,2,4,12500000,5000000,,Based on Real Life Events,21078145,2289441,Fox Searchlight
Narc,70,R,105,Drama,20dec2002,2002,7.8,12,11,0,1,7500000,,,Original Screenplay,10465659,2168088,Paramount Pictures
Gangs of New York,72,R,167,Drama,20dec2002,2002,6.9,169,124,22,23,97000000,35000000,,Original Screenplay,77812000,115960504,Miramax
Catch Me If You Can,76,PG-13,141,Biography,25dec2002,2002,7.8,107,95,6,6,52000000,35000000,,Based on Book/Short Story,164615351,187498961,Dreamworks SKG
The Hours,81,PG-13,114,Drama,27dec2002,2002,8.6,139,118,6,15,25000000,8000000,,Based on Book/Short Story,41675994,67170078,Paramount Pictures
Nicholas Nickleby,71,PG,132,Drama,27dec2002,2002,6.8,5,4,0,1,10000000,,,Based on Book/Short Story,1587173,2064289,United Artists
Chicago,82,PG-13,113,Drama,27dec2002,2002,7.9,139,114,6,19,30000000,30000000,,Based on Musical/Opera,170687518,136089214,Miramax
Confessions of a Dangerous Mind,67,R,113,Biography,31dec2002,2002,8.5,20,19,1,0,29000000,,,Based on Book/Short Story,16007718,17006087,Miramax
Just Married,28,PG-13,95,Comedy,10jan2003,2003,7.9,33,28,0,5,19000000,,,Original Screenplay,56127162,45437773,20th Century Fox
Kangaroo Jack,16,PG,89,Adventure,17jan2003,2003,4.6,54,24,5,25,60000000,,,Original Screenplay,66934963,21994148,Warner Bros.
National Security,31,PG-13,88,Action,17jan2003,2003,3.2,9,3,0,6,,,,Original Screenplay,36381186,13716763,Sony Pictures
A Guy Thing,27,PG-13,101,Comedy,17jan2003,2003,3.8,12,4,1,7,20000000,,,Original Screenplay,15545431,1886732,MGM
P.S. Your Cat Is Dead!,33,R,92,Comedy,17jan2003,2003,,3,2,0,1,,,,,28454,,TLA Releasing
Darkness Falls,23,PG-13,86,Thriller,24jan2003,2003,3.7,32,10,2,20,7000000,20000000,,Original Screenplay,32551396,14937140,Sony Pictures
Biker Boyz,36,PG-13,110,Action,31jan2003,2003,7,4,3,0,1,,,,Based on Magazine Article,22076772,1433829,Dreamworks SKG
The Recruit,56,PG-13,115,Action,31jan2003,2003,6.2,16,10,3,3,,,,Original Screenplay,52802140,48389744,Walt Disney Pictures
How to Lose a Guy in 10 Days,45,PG-13,116,Comedy,07feb2003,2003,7.1,55,40,5,10,50000000,,,Based on Book/Short Story,105813373,71558068,Paramount Pictures
May,58,R,93,Drama,07feb2003,2003,7.3,12,9,1,2,1750000,,,,150277,,Lionsgate
Deliver Us from Eva,46,R,105,Drama,07feb2003,2003,9,9,9,0,0,,,,Original Screenplay,17573594,,Focus Features
Daredevil,42,TV-14,103,Action,14feb2003,2003,6.2,121,73,20,28,80000000,,,Based on Comic/Graphic Novel,102543518,76636200,20th Century Fox
All the Real Girls,71,R,108,Drama,14feb2003,2003,8,27,23,1,3,1000000,,,Original Screenplay,549666,153354,Sony Pictures Classics
Ordinary Sinner,35,,91,Drama,14feb2003,2003,,0,0,0,0,,,,,4083,,Jour de Fete
The Ballad of Bering Strait,49,,98,Documentary,19feb2003,2003,,2,1,0,1,,,,Based on Real Life Events,1440,,Emerging Pictures
Dark Blue,57,R,118,Action,21feb2003,2003,6.6,11,9,1,1,15000000,,,Original Screenplay,9250301,2900000,MGM
The Life of David Gale,31,R,130,Drama,21feb2003,2003,6.6,53,38,4,11,50000000,,,Original Screenplay,19955598,19000000,Universal
Dischord,14,,102,Drama,28feb2003,2003,,0,0,0,0,,,,,2199,,Artistic License
Cradle 2 the Grave,36,R,101,Action,28feb2003,2003,6.8,17,12,2,3,25000000,,,Original Screenplay,34712347,21777211,Warner Bros.
Poolhall Junkies,36,R,99,Drama,28feb2003,2003,9.1,22,21,0,1,4000000,,,Original Screenplay,563711,,Gold Circle Films
Laurel Canyon,61,R,103,Drama,07mar2003,2003,6.6,18,15,1,2,,,,Original Screenplay,3663356,748847,Sony Pictures Classics
Tears of the Sun,48,Not Rated,121,Action,07mar2003,2003,6.6,46,29,6,11,75000000,30000000,,Original Screenplay,43734876,42733286,Sony Pictures
Bringing Down the House,39,PG-13,105,Comedy,07mar2003,2003,4.3,30,12,2,16,20000000,28000000,,Original Screenplay,132716677,32013002,Walt Disney Pictures
The Hunted,40,R,94,Action,14mar2003,2003,3.9,18,8,0,10,55000000,,,Original Screenplay,34244097,11252437,Paramount Pictures
Dreamcatcher,35,R,134,Sci-Fi,21mar2003,2003,4.6,55,26,6,23,68000000,,,Based on Book/Short Story,33715436,42000000,Warner Bros.
One Swallow Brought Spring,64,,103,Drama,21mar2003,2003,9,4,4,0,0,,,,,183266,,Films Philos
Boat Trip,18,Unrated,94,Comedy,21mar2003,2003,5.5,23,12,1,10,15000000,15000000,,Original Screenplay,8600126,6420167,Artisan
Blue Collar Comedy Tour: The Movie,70,PG-13,105,Comedy,28mar2003,2003,9.4,54,52,0,2,,,,Based on Real Life Events,604856,,Warner Bros.
Assassination Tango,51,R,114,Drama,28mar2003,2003,,2,2,0,0,,,,Original Screenplay,1013272,,MGM
Head of State,44,PG-13,95,Comedy,28mar2003,2003,5,20,10,2,8,35200000,27000000,,Original Screenplay,38125247,495237,Dreamworks SKG
What a Girl Wants,41,PG,105,Comedy,04apr2003,2003,7.2,28,21,0,7,25000000,22000000,,Remake,36105433,14626706,Warner Bros.
DysFunktional Family,51,R,89,Comedy,04apr2003,2003,,0,0,0,0,3000000,,,Based on Real Life Events,2255000,,Miramax
Levity,45,R,100,Drama,04apr2003,2003,6.6,11,8,2,1,,,,,209695,,Sony Pictures Classics
Phone Booth,56,R,81,Mystery,04apr2003,2003,5.9,75,48,8,19,11000000,25000000,,Original Screenplay,46566212,51270926,20th Century Fox
A Man Apart,36,R,109,Action,04apr2003,2003,3.5,19,7,1,11,36000000,18000000,,Original Screenplay,26736098,17614828,New Line
Better Luck Tomorrow,67,R,101,Drama,11apr2003,2003,7.5,28,20,4,4,250000,,,Original Screenplay,3802390,6836,Paramount Pictures
Anger Management,52,R,106,Comedy,11apr2003,2003,6.2,80,47,14,19,56000000,35000000,,Original Screenplay,135645823,60100000,Sony Pictures
Ghosts of the Abyss,67,G,59,Documentary,11apr2003,2003,8.5,8,7,1,0,,,,Based on Real Life Events,17040871,5100668,Walt Disney Pictures
Bulletproof Monk,40,PG-13,104,Action,16apr2003,2003,4.7,21,8,6,7,52000000,25000000,,Based on Comic/Graphic Novel,23358708,14355171,MGM
Chasing Papi,33,PG,80,Comedy,16apr2003,2003,8.199999999999999,5,4,0,1,9000000,,,Original Screenplay,6130049,6531140,20th Century Fox
A Mighty Wind,81,PG-13,91,Comedy,16apr2003,2003,7.5,61,49,4,8,6000000,,,Original Screenplay,17781006,969240,Warner Bros.
Holes,71,PG,117,Adventure,18apr2003,2003,8.9,163,150,5,8,20000000,20000000,,Based on Book/Short Story,67406573,4000000,Walt Disney Pictures
Malibu's Most Wanted,43,PG-13,86,Comedy,18apr2003,2003,5.9,15,9,2,4,15000000,20000000,,Based on TV,34432201,190303,Warner Bros.
Manic,60,R,100,Drama,25apr2003,2003,8.6,11,11,0,0,,,,,69958,,IFC
A Decade Under the Influence,67,TV-MA,138,Documentary,25apr2003,2003,,3,3,0,0,,,,Based on Real Life Events,34837,,IFC
It Runs in the Family,44,PG-13,109,Drama,25apr2003,2003,3.6,5,2,1,2,,,,Original Screenplay,7491839,719669,MGM
Identity,64,R,90,Mystery,25apr2003,2003,7.1,64,50,8,6,28000000,24000000,,Original Screenplay,52159536,38100000,Sony Pictures
The Scoundrel's Wife,55,R,95,Drama,25apr2003,2003,,0,0,0,0,,,,,8018,,Miracle Film Distribution
City of Ghosts,57,R,116,Drama,25apr2003,2003,7.2,6,4,2,0,17500000,,,Original Screenplay,357197,,MGM
Confidence,59,TV-MA,97,Thriller,25apr2003,2003,7.1,10,8,1,1,15000000,12000000,,Original Screenplay,12251640,10762566,Lionsgate
Jersey Guy,16,R,90,Drama,25apr2003,2003,,0,0,0,0,,,,,4268,,Castle Hill Productions
The Real Cancun,34,R,96,Documentary,25apr2003,2003,4.5,15,7,1,7,4000000,20000000,,Based on TV,3825421,1519662,New Line
People I Know,53,TV-MA,100,Drama,25apr2003,2003,3.9,8,3,1,4,20000000,,,,126793,5572241,Miramax
New Suit,53,R,94,Comedy,02may2003,2003,,1,1,0,0,,,,,71743,,Trillion
Charlotte Sometimes,72,R,85,Drama,02may2003,2003,9,7,7,0,0,,,,Original Screenplay,150445,,Small Planet
The Lizzie McGuire Movie,56,PG,94,Adventure,02may2003,2003,6.5,53,35,1,17,15000000,10000000,,Based on TV,42734455,12800000,Walt Disney Pictures
Reno: Rebel Without a Pause,54,,75,Comedy,02may2003,2003,,1,1,0,0,,,,,0,,
Blue Car,76,R,96,Drama,02may2003,2003,7.6,10,8,1,1,,,,Original Screenplay,465310,,Miramax
The Shape of Things,59,R,96,Drama,09may2003,2003,4.1,11,4,2,5,,,,Based on Play,735992,326099,Focus Features
A Family Affair,50,,107,Comedy,09may2003,2003,,0,0,0,0,,,,,50075,,Small Planet
Only the Strong Survive,59,PG-13,95,Documentary,09may2003,2003,,2,2,0,0,,,,Based on Real Life Events,57581,,Miramax
Down with Love,52,PG-13,101,Comedy,09may2003,2003,7,33,23,3,7,,,,Original Screenplay,20305251,19162860,20th Century Fox
Beyond Vanilla,37,,92,Documentary,16may2003,2003,,3,3,0,0,,,,,27396,,Strand
Friends and Family,36,,87,Comedy,16may2003,2003,,3,3,0,0,,,,,127212,,Regent Releasing
Cinemania,67,Not Rated,83,Documentary,16may2003,2003,7,4,3,0,1,,,,Based on Real Life Events,11305,,WellSpring
The In-Laws,46,PG-13,98,Action,23may2003,2003,5.3,6,3,2,1,,,,Remake,20453431,6438418,Warner Bros.
Finding Nemo,89,G,100,Adventure,30may2003,2003,8.6,372,332,12,28,94000000,40000000,,Original Screenplay,339714978,528179000,Walt Disney Pictures
Capturing the Friedmans,90,Not Rated,107,Biography,30may2003,2003,8.199999999999999,32,27,0,5,,,,Based on Real Life Events,3119113,957877,Magnolia Pictures
The Eye,66,TV-MA,99,Drama,06jun2003,2003,6.4,15,8,5,2,,,,,512049,11652967,Palm Pictures
Garmento,33,Unrated,90,Drama,06jun2003,2003,,0,0,0,0,,,,,19402,,Spanish Moss
Manito,71,,78,Drama,13jun2003,2003,8.5,24,24,0,0,25000,,,,11000,,Film Movement
Hollywood Homicide,47,PG-13,116,Action,13jun2003,2003,4.2,16,5,3,8,75000000,,,Original Screenplay,30940691,20201968,Sony Pictures
From Justin to Kelly,14,PG,81,Comedy,20jun2003,2003,4.1,56,22,2,32,12000000,,,Based on TV,4928883,,20th Century Fox
Sinbad: Legend of the Seven Seas,48,PG,86,Adventure,02jul2003,2003,7,11,9,0,2,60000000,,,Traditional/Legend/Fairytale,26483452,54284432,Dreamworks SKG
Northfork,64,PG-13,103,Drama,11jul2003,2003,5,20,9,1,10,1900000,,,Original Screenplay,1420578,179226,Paramount Vantage
