abil,educ,motheduc,fatheduc
-.46862143,13,14,12
.63117957,11,9,6
1.1322333,12,10,8
4.5656133,13,14,13
4.0637136,12,12,6
2.5111883,13,12,10
2.374377,12,12,12
.50592715,12,12,12
.58438087,11,11,10
-3.0402877,9,0,0
1.6993098,12,10,12
-1.476158,12,16,16
1.8794793,16,14,16
.1515905,12,12,8
2.9423869,15,12,8
2.7969451,15,12,12
1.249611,15,14,18
.82333821,12,12,17
2.4460502,12,17,18
3.327208,12,12,12
1.8977937,12,12,13
3.7818387,12,12,11
.63962555,12,14,14
4.3780417,12,12,12
2.2682536,12,16,17
3.1617825,15,14,20
3.9877086,17,14,16
1.5490683,12,12,11
3.0124164,17,16,18
5.2130103,13,12,13
2.012532,15,12,12
1.1402076,11,9,1
-4.3370466,12,12,12
3.9334724,14,12,14
2.0714703,16,12,12
3.1241174,12,12,14
2.7128265,14,11,13
.90716565,12,11,11
-4.0511694,8,9,8
.14077488,16,12,12
3.7516365,20,16,18
1.9216458,12,12,9
3.506032,16,12,12
3.4352429,20,16,19
1.8059175,10,12,12
1.4724462,17,20,20
2.9445517,15,20,20
3.7150021,12,12,16
2.6306183,12,12,12
4.2698607,15,12,12
2.9511859,15,16,16
1.5301261,11,11,10
1.7579877,12,12,8
2.0215096,16,13,14
1.7266164,12,12,11
2.8031733,12,12,12
4.1645617,19,13,14
.89311475,16,14,16
-.63306069,8,6,10
1.2309276,11,8,9
